step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
156,0.7612476348876953,0.800000011920929,,1.2761831283569336,0.8,,,,,2025-10-25T16:59:03.5300000Z
157,1.7881540060043335,0.6000000238418579,,1.1895330429077149,0.8,,,,,2025-10-25T16:59:04.8610000Z
158,1.7027244567871094,0.6000000238418579,,1.110016441345215,0.8,,0.9935107231140137,0.805,,2025-10-25T16:59:14.2390000Z
159,0.9081485867500305,0.800000011920929,,1.29046688079834,0.8,,,,,2025-10-25T16:59:15.5460000Z
160,1.4753808975219727,0.800000011920929,,1.1454853057861327,0.8,,,,,2025-10-25T16:59:16.8800000Z
161,2.767972469329834,0.6000000238418579,,1.397585105895996,0.8,,,,,2025-10-25T16:59:18.1680000Z
162,1.030596375465393,0.800000011920929,,1.6866323471069335,0.8,,,,,2025-10-25T16:59:19.4670000Z
163,1.1661837100982666,0.800000011920929,,1.6901889801025392,0.8,,,,,2025-10-25T16:59:20.7680000Z
164,0.9988628625869751,0.800000011920929,,1.7087053298950194,0.8,,,,,2025-10-25T16:59:22.0660000Z
165,2.1746835708618164,0.6000000238418579,,1.3578172683715821,0.8,,,,,2025-10-25T16:59:23.3620000Z
166,0.719098687171936,0.800000011920929,,1.2744386672973633,0.8,,,,,2025-10-25T16:59:24.6830000Z
167,1.0951639413833618,0.800000011920929,,1.352593231201172,0.8,,,,,2025-10-25T16:59:25.9770000Z
168,0.840023398399353,0.800000011920929,,1.2224184036254884,0.8,,,,,2025-10-25T16:59:27.2930000Z
169,0.704455554485321,0.800000011920929,,1.0149658203125,0.8,,,,,2025-10-25T16:59:28.6010000Z
170,0.9856389760971069,0.800000011920929,,1.129817008972168,0.8,,,,,2025-10-25T16:59:29.9510000Z
171,0.8521785736083984,0.800000011920929,,1.2133108139038087,0.8,,,,,2025-10-25T16:59:31.2450000Z
172,1.701183557510376,0.6000000238418579,,1.2106615066528321,0.8,,,,,2025-10-25T16:59:32.5700000Z
173,1.2530136108398438,0.800000011920929,,1.1629283905029297,0.8,,,,,2025-10-25T16:59:33.8730000Z
174,1.1255687475204468,0.800000011920929,,1.1996118545532226,0.8,,,,,2025-10-25T16:59:35.1820000Z
175,1.9977872371673584,0.6000000238418579,,1.1188627243041993,0.8,,,,,2025-10-25T16:59:36.4960000Z
176,1.1592344045639038,0.800000011920929,,1.028104591369629,0.8,,,,,2025-10-25T16:59:37.8150000Z
177,0.9801891446113586,0.800000011920929,,1.005194091796875,0.8,,,,,2025-10-25T16:59:39.1450000Z
